Tahun;Batu Bara;Bauksit;Nikel;Emas;Perak;Granit;Pasir Besi;Konsentrat Tin;Konsentrat Tembaga
2006;162294657;2117630;3869883;138992;270624;4514654;84954;79100;817796
2007;188663068;1251147;7112870;117854;268967;1793440;84371;64127;796899
2008;178930188;1152322;6571764;64390;226051;2050000;4455259;79210;655046
2009;228806887;935211;5819565;140488;359451;0;4561059;56602;973347
2010;325325793;2200000;9475362;119726;335040;2172080;8975507;97796;993152
2011;415765068;0;41193335;68220;227173;3316813;11814544;89600;1472238
2012;466307241;24714940;47106534;69291;0;0;11545752;44202;2265865
2013;458462513;0;65047388;59804;0;0;22353337;59412;1909548
2014;435742874;0;39034912;69349;0;0;5951400;51801;1571596
2015;405871432;2539274;34063566;92339;0;0;3838546;93180;2282831
